Input File,Species,BIC,Kernel,Mean
simulations63,Species 2,590.9627848025647,Linear,Zero
simulations63,Species 3,514.7592156029473,RationalQuadratic,Zero
simulations11,Species 1,840.4953180698143,Linear,Zero
simulations11,Species 2,232.22704955653873,RationalQuadratic,Zero
simulations11,Species 3,494.69085508618235,Matern12,Zero
simulations45,Species 1,606.342010102944,RationalQuadratic,Zero
simulations45,Species 2,1041.9456664449876,RationalQuadratic,Zero
simulations45,Species 3,367.06330212648083,RationalQuadratic,Zero
simulations53,Species 1,720.1437659099595,Matern12,Zero
simulations53,Species 2,273.41099719328486,RationalQuadratic,Zero
simulations53,Species 3,785.2953400747575,Matern12,Zero
simulations90,Species 1,124.21279518633358,Exponential,Zero
simulations90,Species 2,215.52737087991213,RationalQuadratic,Zero
simulations90,Species 3,1025.1091536165802,RationalQuadratic,Zero
simulations91,Species 1,531.9913799087474,RationalQuadratic,Zero
simulations91,Species 2,319.31564043985145,RationalQuadratic,Zero
simulations91,Species 3,620.3495130415631,RationalQuadratic,Zero
simulations93,Species 1,986.3019600307372,RationalQuadratic,Zero
simulations93,Species 2,1029.5963576772938,Exponential,Zero
simulations93,Species 3,395.94693380116195,Linear,Zero
simulations4,Species 1,549.3644961968253,Exponential,Zero
simulations4,Species 2,98.36600459903636,RationalQuadratic,Zero
simulations4,Species 3,297.9184044451191,Linear,Zero
simulations67,Species 1,134.43642040829158,RationalQuadratic,Zero
simulations67,Species 2,754.025371393864,Matern52,Zero
simulations67,Species 3,373.40694010479933,RationalQuadratic,Zero
simulations26,Species 1,401.5734629141409,Matern12,Zero
simulations26,Species 2,619.760973973667,Matern32,Zero
simulations26,Species 3,152.64973663963153,RationalQuadratic,Zero
simulations13,Species 1,578.6387426619004,RationalQuadratic,Zero
simulations13,Species 2,542.8012400836446,Linear,Zero
simulations13,Species 3,1092.9424927540151,RationalQuadratic,Zero
simulations50,Species 1,1103.7820473891306,RationalQuadratic,Zero
simulations50,Species 2,270.72835513150244,Exponential,Zero
simulations50,Species 3,385.72713237180017,RationalQuadratic,Zero
simulations77,Species 1,498.0656531654827,Matern12,Zero
simulations77,Species 2,795.5775232449367,RationalQuadratic,Zero
simulations77,Species 3,214.80947166115428,RationalQuadratic,Zero
simulations70,Species 1,252.34239442514374,RationalQuadratic,Zero
simulations70,Species 2,426.41311014198436,RationalQuadratic,Zero
simulations70,Species 3,273.71581191123425,RationalQuadratic,Zero
simulations3,Species 1,450.35813623924844,Matern32,Zero
simulations3,Species 2,272.93257501276355,RationalQuadratic,Zero
simulations3,Species 3,263.1929847367917,RationalQuadratic,Zero
simulations66,Species 1,302.6468669286668,RationalQuadratic,Zero
simulations66,Species 2,497.95644022429565,RationalQuadratic,Zero
simulations66,Species 3,401.04689251182924,Linear,Zero
simulations85,Species 1,403.63385707700576,Exponential,Zero
simulations85,Species 2,530.3461498800154,Linear,Zero
simulations85,Species 3,317.46624529506823,RationalQuadratic,Zero
simulations55,Species 1,201.35287967702973,Exponential,Zero
simulations55,Species 2,628.810317304981,Exponential,Zero
simulations55,Species 3,677.0739065189177,Exponential,Zero
simulations36,Species 1,874.18332141276,Linear,Zero
