Input File,Species,BIC,Kernel,Mean
simulations59,Species 2,440.3747289862869,RationalQuadratic,Zero
simulations59,Species 3,197.61178472281253,RationalQuadratic,Zero
simulations12,Species 1,232.57261387035848,RationalQuadratic,Zero
simulations12,Species 2,513.8403440113965,RationalQuadratic,Zero
simulations12,Species 3,385.39138381031756,RationalQuadratic,Zero
simulations75,Species 1,560.3459684759806,RationalQuadratic,Zero
simulations75,Species 2,545.3894237930501,RationalQuadratic,Zero
simulations75,Species 3,186.07569804609514,RationalQuadratic,Zero
simulations32,Species 1,319.4644929137074,RationalQuadratic,Zero
simulations32,Species 2,857.1278756093008,RationalQuadratic,Zero
simulations32,Species 3,616.0074851139261,RationalQuadratic,Zero
simulations98,Species 1,241.45340103914756,RationalQuadratic,Zero
simulations98,Species 2,328.05712182827966,RationalQuadratic,Zero
simulations98,Species 3,468.2263351598929,RationalQuadratic,Zero
simulations58,Species 1,458.3806737609059,RationalQuadratic,Zero
simulations58,Species 2,818.0273872351227,RationalQuadratic,Zero
simulations58,Species 3,495.39215525903103,RationalQuadratic,Zero
simulations96,Species 1,818.713482367501,Matern32,Zero
simulations96,Species 2,485.75648464887587,RationalQuadratic,Zero
simulations96,Species 3,517.0950188734296,RationalQuadratic,Zero
simulations52,Species 1,216.54470867171923,RationalQuadratic,Zero
simulations52,Species 2,458.03390831849237,RationalQuadratic,Zero
simulations52,Species 3,381.85292821306047,RationalQuadratic,Zero
simulations81,Species 1,164.93197239003425,RationalQuadratic,Zero
simulations81,Species 2,721.5906185855987,RationalQuadratic,Zero
simulations81,Species 3,432.45910101443764,RationalQuadratic,Zero
simulations63,Species 1,934.8257860343525,RationalQuadratic,Zero
simulations63,Species 2,704.6449314493399,RationalQuadratic,Zero
simulations63,Species 3,619.2011686113286,RationalQuadratic,Zero
simulations11,Species 1,914.8399807692871,RationalQuadratic,Zero
simulations11,Species 2,289.0348369385623,RationalQuadratic,Zero
simulations11,Species 3,425.3250574404579,RationalQuadratic,Zero
